Ankil Patel,100,Counter-Terrorist,M4A4
Georgina Easterling,90,Terrorist,AK4790
Matt England,100,Counter-Terrorist,P2000
Joe Loser,85,Counter-Terrorist,M4A4
Jolie Mayhall,90,Terrorist,AK47
Chao Fang,100,Counter-Terrorist,KNIFE
Bibi Brittian,90,Terrorist,KNIFE
Shera Halterman,95,Terrorist,GLOCK18
Will Starms,100,Counter-Terrorist,P2000
Delinda Friedt,50,Counter-Terrorist,P2000
Faustino Cambareri,100,Counter-Terrorist,KNIFE
Roselyn Gregory,100,Counter-Terrorist,P2000
Margarito Ebarb,100,Counter-Terrorist,M4A4
Adena Holeman,100,Counter-Terrorist,M4A4
Tianna Vanmatre,100,Counter-Terrorist,KNIFE
Bridgette Aceves,30,Terrorist,KNIFE
Kaleigh Winslow,97,Terrorist,AK47
Hildegarde Trice,80,Counter-Terrorist,M4A4
Georgann Durbin,90,Terrorist,GLOCK18
Nila Troup,90,Terrorist,GLOCK18
Cleotilde Adamski,90,Terrorist,AK47
Georgeanna Yokum,90,Terrorist,KNIFE
Tyler Nivin,100,Counter-Terrorist,M4A4
Inga Piazza,90,Terrorist,AK47
Sharyn Hoy,90,Terrorist,GLOCK18
Johnna Holstein,75,Terrorist,KNIFE
